basin,pred_mean,pred_std,residual_mean,residual_std
10002,4.878257314659973,4.684577630001867,0.4086710391244227,2.191633984574569
10003,8.008295607485152,7.312690021293555,0.44410512772881333,2.3491204850933705
1001,2.670474520667272,3.058923436296599,0.3209312097929439,1.6648174550419794
101002,0.3837415525235052,0.40429955420467895,0.052575144336663625,0.18105673132979286
101005,0.2885042745198544,0.29332992578068945,-0.008846677949851665,0.15709753819564123
102001,0.43110770879780896,0.5216589965209563,0.01329207369102693,0.4064472105873713
106001,1.624700275801007,1.3539940206036363,-0.0013228364848927427,0.5379886407511892
107001,0.5846882577790963,0.5132441014595276,-0.04960387930497946,0.32816511485212596
11001,18.115711475079877,19.53222824422374,3.269861430206317,6.417183221316921
11003,9.003129257279797,7.066011067108128,0.7761952509415335,4.795162578403909
11004,3.132842655942493,3.1370660275277973,-0.011815729597072566,0.8683060974507144
12001,34.8316493676403,29.475937339724013,3.8629606268915104,24.1605671333436
12002,47.33292868393434,39.80021821097499,1.4228223421512372,27.356907665327277
12005,3.851398194732995,4.764580161357841,0.05288753245564584,2.5479339680747786
12006,3.2609151832633496,3.068851651994081,0.3182450206494523,2.0346259486551705
12007,10.635093829666818,9.419777504365173,1.500081886885486,8.043262810989692
12008,5.588677481684162,8.637282677618586,0.9868953339021976,4.853881119244936
12009,1.4748775998539485,2.1213634137166206,-0.16142257334183022,1.0025782510910155
13001,2.4571547779141967,2.9934170644171703,-0.006159785129483341,1.2538825904128343
13004,3.0712635274075804,3.6151179684869157,0.6314384491026015,2.32204205730222
13005,2.1475093649885872,2.9412457240929846,-0.3759803932506344,0.8500490568115577
13007,19.47945719785488,24.48729442807206,1.7494885799689548,12.315046562577425
13008,12.680925394933807,13.289740743121945,1.457144030967613,7.389995335707773
14001,4.162799944313099,4.525827934963234,0.04053643214272708,1.2686307136439199
14002,1.7347445784071216,1.9557297677422032,0.06751009721436786,0.8966827123641514
14005,0.6596958353080767,0.5569695606252503,-0.05843616886735874,0.5249123289192076
15006,164.42183850524907,112.03324149708658,25.91122864295095,92.0471185574631
15007,61.36085652327703,43.345288330899145,3.83043087453633,18.555297902038653
15010,8.399425393884064,9.900930073594704,0.6621675067116622,4.765611869202398
15011,11.903753076540415,10.79737828282233,2.522504416414815,10.202050838223844
15012,71.46329068598826,54.91637579703939,6.464107891541305,26.008814835213123
15013,5.096558412643548,6.03706779035525,0.96893225556869,3.9544201662417606
15014,3.2056540306549515,3.2525806595590514,0.29907441802935647,2.341457576622704
15016,47.89947516152445,35.877705198163355,0.019393202204244744,11.508838210646502
15021,1.5087005097854844,1.5238145156311829,0.2697933182917572,1.2289191992594881
15023,6.557556262788689,7.149424440069906,0.6305131289633911,4.408072495840478
15024,15.618753862149717,18.2135319218631,0.3208491486638658,8.125944269467094
15025,12.896535766225472,12.438840280564298,0.9083114107173438,8.53088128350893
15030,4.3017916592012755,5.717389294008954,-0.294557507423382,1.6610536805721974
15039,6.669697187768154,5.409155344484433,0.928011657939571,6.497203294933507
16001,22.984343111227776,21.59556202717988,2.1304766736731855,8.424792392199462
16003,5.015484198553725,6.2465978252535805,0.8634888856831766,4.12381588163115
16004,27.759676894340476,27.268754212261193,3.6228289669000744,10.327266898044195
17001,3.7027723188407085,3.9670615912193736,0.07993421356946827,2.2459081238290106
17003,1.2724476826859856,1.4774699697270104,-0.01512225882400365,0.5402260753897127
17004,2.038140734787768,2.4264857341773083,0.17579810877524601,0.9408418677339235
17005,4.115251244929257,5.226522526480855,0.18733206205356,1.8159777364158627
17015,0.7258224650664068,0.7532016014015351,-0.041112335806728434,0.2908249960454128
17018,0.193395822112638,0.18184386151147164,-0.012756938540349613,0.1216140937542153
18001,5.1529849767001386,6.336682946576516,0.6820173197111411,2.7900532332732046
18002,5.070190869246914,5.196292888166958,0.4362171840853765,3.013414915299911
18003,26.444655680648136,24.591577018096896,1.099543372156011,9.073687706309311
18008,13.37135578169786,11.96590548004544,-0.28651856486576155,5.070410613589075
18010,15.627209531656733,16.04450945270435,1.4028309437064657,6.150682498388882
18011,47.29930840897306,50.19346341439682,-0.3721608320657234,13.521517648417804
18014,0.7664161462473746,0.9029355944893004,0.2561397593198882,0.5675310692499768
18017,0.48111986867640344,0.5356592720262341,0.0,1.0
18018,0.43580866636604343,0.3707111698873119,0.0,1.0
19001,6.829333251688715,8.772164660492784,-0.09172028159312189,3.291008408097715
19006,1.7008906731355555,1.826743810999009,-0.10789204460975355,0.6630835616529083
