basin,NH_NSE,GNN_NSE,improvement
89007,-4.357030778123147,-2.837499127788047,1.5195316503351002
39065,0.107717316294478,0.477239857333631,0.369522541039153
42026,0.3779403449663242,0.673822449236833,0.29588210427050876
39012,0.4739041269758833,0.726873646846206,0.25296951987032273
39029,0.5597664785545462,0.7778057941475872,0.21803931559304102
39010,0.4827789341778014,0.7004605534939368,0.2176816193161354
41001,0.1824056298524456,0.3940641875652958,0.21165855771285022
40033,0.4740750523886261,0.67935834984408,0.20528329745545387
39061,0.3584801234739783,0.5274017179477462,0.16892159447376787
39014,0.3295105396857106,0.4924888198056268,0.16297828011991622
39022,0.6475545167458086,0.777600836840088,0.1300463200942794
28060,0.6610920713646646,0.7870848505004229,0.12599277913575824
42001,0.5740671429225865,0.6724173206961105,0.09835017777352395
37009,0.7290245828024757,0.8257809052985121,0.09675632249603638
68005,0.7101094731921849,0.806613563971736,0.09650409077955113
39069,0.6792792423947678,0.7746976622471384,0.09541841985237065
29003,0.8244628731154211,0.9138299859225978,0.08936711280717669
26003,0.8526367501471999,0.9402738031803152,0.08763705303311531
29002,0.7953152074187332,0.8780404014264697,0.08272519400773648
44009,0.7281633828779654,0.8095812051741362,0.08141782229617078
11001,0.7397520339260213,0.8124494835983294,0.07269744967230807
39011,0.7210834602066645,0.7936804677608217,0.07259700755415721
31023,0.213075146522181,0.2815664784307093,0.0684913319085283
33054,0.5643662671612357,0.6321007343706767,0.06773446720944098
30004,0.6873034925685213,0.7528872460521766,0.0655837534836553
39056,0.6466055084901424,0.7120533022694023,0.06544779377925991
41012,0.6216551376877348,0.6865904826469844,0.06493534495924957
37033,0.4204862411058295,0.4854168674823942,0.06493062637656472
41011,0.7224028896510575,0.7872550165283095,0.06485212687725206
31025,0.7049879327801953,0.7691849695361181,0.06419703675592281
60006,0.7512210538154102,0.813647914864564,0.06242686104915385
38017,0.753323732607651,0.8141320102435451,0.06080827763589414
69043,0.7909009168764376,0.8492435439172225,0.058342627040784856
54015,0.7719504965457411,0.8293401149431601,0.05738961839741896
54017,0.6952404484930546,0.7523638406069358,0.05712339211388129
53006,0.8016202325161889,0.8586152455231485,0.05699501300695964
8011,0.6021123239170447,0.6577297889190115,0.05561746500196674
37020,0.7124939897037628,0.7670635304268688,0.05456954072310605
33028,0.7914330423143048,0.8443873693244026,0.052954327010097835
54004,0.8089236982471115,0.8602691183952998,0.051345420148188325
15021,0.4386200397766081,0.4881702833941647,0.04955024361755661
68003,0.8045430459137822,0.8530403779835473,0.04849733206976503
47014,0.7419071689705627,0.790327402529041,0.04842023355847824
29005,0.5845076962259995,0.6328202616173748,0.048312565391375295
41003,0.6394714278481686,0.6876844961999009,0.048213068351732336
54020,0.8153957265031474,0.8609893809884366,0.04559365448528918
44002,0.8517137309613264,0.8970430852643596,0.0453293543030332
33058,0.6627335621597843,0.7075525617678772,0.04481899960809288
54024,0.8215884233893753,0.8662425243486529,0.044654100959277576
39087,0.7620667039423568,0.8064114170774906,0.044344713135133884
69012,0.8487166707918619,0.8912675823368978,0.042550911545035985
23007,0.7828782587543404,0.8252688360676598,0.04239057731331941
49004,0.8682245335161629,0.9092276785841787,0.041003145068015834
11003,0.6907907981802284,0.7317591455796912,0.04096834739946287
27073,0.7780098247507736,0.8185404554494695,0.04053063069869589
42004,0.8562505201215611,0.896593038561749,0.04034251844018788
27080,0.8756699001850405,0.9158462288011436,0.040176328616103096
36011,0.761567108863911,0.8013267836611654,0.039759674797254396
41006,0.5563531011264656,0.5958673970197097,0.03951429589324407
