basin,nh_nse,gnn_nse,nh_kge,gnn_kge,nh_rmse,gnn_rmse,nh_mae,gnn_mae
10002,0.8584755800349191,0.8701286166857297,0.8062260226578968,0.8593701177215968,2.3951562421597785,2.29443041062391,1.0616491480273973,0.9639786717722186
10003,0.914803848768291,0.9281349703700223,0.8411737487279771,0.8987194707574274,2.223146099921582,2.0418170265277604,1.1353365490410958,1.0237134273982729
1001,0.8211858225588716,0.8357277594613775,0.7522520249697751,0.8117003463809618,1.4680846938945635,1.4071235334258174,0.8047246443479452,0.8789075955769233
101002,0.5950630703136535,0.5287433674973212,0.7556673361846689,0.6636872447892155,0.1852641274200694,0.19986022879514545,0.07926038794246575,0.08594907390176709
101005,0.6403470909572013,0.6433314757460993,0.7736447465716287,0.7996318546614849,0.15755644132763638,0.15690138120299946,0.06442703338630137,0.06374336954840837
102001,0.7672351677684355,0.7934472324250257,0.6226458678592808,0.6688132459086232,0.5024772580100827,0.4733400337078588,0.15659634255479452,0.15814342461990694
106001,0.7999614853960624,0.7939398221947778,0.889446185184312,0.8863823083016513,0.6467655640214152,0.6564280234422484,0.4265555184821917,0.4308242280207449
107001,0.7571859858798433,0.7524582683753225,0.6884702499442488,0.6895538646193313,0.3381278683674075,0.341403763757993,0.2255241757068493,0.21272970935672578
11001,0.7397520339260213,0.8124494836203104,0.6126825213719137,0.7080403242186328,10.890298411725496,9.244964341241038,6.255208557397261,3.8218269745405213
11003,0.6907907981802284,0.7317591455693728,0.5406704767215142,0.5959950107638627,5.978211782676927,5.5681067550124155,2.602564223561644,2.3006334754621904
11004,0.8507288096670927,0.8418544740210341,0.8556598956566854,0.8307121766475264,0.8696634246284438,0.8951414387171746,0.5045914793424657,0.5193255031427264
12001,0.7239323118622398,0.7510948364993472,0.6056316221724405,0.649843305178216,23.812151066494884,22.6103764386459,9.34486055780822,10.482959249925083
12002,0.7506765581206519,0.7749785281098094,0.6071385123474864,0.6446947668271032,28.873193077211305,27.429964072282853,12.353843584931507,12.524622779781053
12005,0.7634310233413819,0.7863914007597551,0.6138688939919872,0.6564512932391418,2.816523947723285,2.6763562298530283,1.2028234219452054,1.1874383899431686
12006,0.6645776478805423,0.6933581050250043,0.5408985902652518,0.592301402796677,2.9147565504020156,2.7869041481250756,1.0555934864657532,1.0683670442480846
12007,0.683752972891434,0.69825782165971,0.6300477460789868,0.6693206152969644,7.410317389659252,7.238383590947568,3.7919961334246572,4.359944217757282
12008,0.7405409276182108,0.7766282104956658,0.5872000303053928,0.6930781777128987,5.48442046961325,5.088742488349624,2.1356517689589043,2.09673696348175
12009,0.7484269045302366,0.7625066833648914,0.7306310627802304,0.7562666515452745,1.86818920890207,1.8151581027116652,0.9183908119125684,0.919363175221247
13001,0.7956098549323056,0.80231414343528,0.7346070415799684,0.7604986437328496,1.7602880798464469,1.731177390634834,0.5840462398493151,0.5728689291442298
13004,0.7437711637123654,0.7471698198988231,0.6144499853770442,0.6768633104121702,2.2771334168507757,2.261980889996952,0.8721526731369863,1.161713124692657
13005,0.8233933064498375,0.8413652794124015,0.6604195221004585,0.7591121627353036,1.1603342267315704,1.0997111973313465,0.6128744075273973,0.5423143925612101
13007,0.7561268770708551,0.766242228895043,0.7135240040427449,0.7573161242656845,13.910457453602406,13.61891380484921,5.174019274109589,5.816738526334242
13008,0.8026668606443492,0.8198674659430374,0.6446401991085844,0.6945652703416287,7.325075188969721,6.99855135310102,3.2851130657534244,3.8724027931761937
14001,0.9276530147186222,0.9311825458164673,0.8790119702453603,0.902744261506945,1.4325402508983494,1.3971592658280871,0.6430387750821918,0.6318663945241321
14002,0.926920376654563,0.9242472210348651,0.9462873570452802,0.9531054794444273,0.6568718371374391,0.6687776898399127,0.3319830233287671,0.33992053473105827
14005,0.5412584127900975,0.5537345824044585,0.6222462907483391,0.6804268687366282,0.5666463074213051,0.5588877920211843,0.30215983936301366,0.28638666747027075
15006,0.7485227794808674,0.7645559354272843,0.69449155576866,0.7268445150065523,72.25776241583316,69.91639966217453,35.63580570273973,39.38613561568071
15007,0.9032733013104512,0.8987398033916293,0.8477199422645096,0.8445032967800606,14.365538916582208,14.698334389258866,10.133245871232878,11.1570042715853
15010,0.7877355555998291,0.7906169483786262,0.6905330276768884,0.7166779881654286,5.204149765216255,5.168707097955135,1.995398140547945,2.346554793545981
15011,0.7831416699327298,0.7884412704354623,0.6885642754037173,0.7194528174020405,6.879635774150953,6.795053286146279,3.322345857123288,4.372715412504191
15012,0.8365955064045115,0.8282826239976351,0.8840085911393868,0.8786765258949204,21.231905694325324,21.765272083030176,14.609668278767124,15.574211762788853
